what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645242634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645243618
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1358645244813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358645260683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645261126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645263026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358645266945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645267433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645269279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358645276584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645277007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645281587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358645285005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645285456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645318602
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1358645321139
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1358645331297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645339274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645342814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645363038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358645364024
