what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862558890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862559666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862560573
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1361862562328
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1361862563650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361862567375
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1361862568329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361862570785
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1361862572414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361862574704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361862577033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862577487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862618115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361862627661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862628827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862630874
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1361862632789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1361862649501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1361862650519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361862651326
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1361862652640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1361862653946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1361862654493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1361862655700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1361862656639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1361862657158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361862659822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862660339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862673570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862675341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862683123
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1361862685020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1361862686168
executed,command,com.aptana.editor.findbar,3.0.0.1345081752,"org.eclipse.ui.edit.findbar.findNextOrPrev",1361862687406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361862705716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862706190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862713180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361862716628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862717086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862881286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361862884319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361863353043
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1361863356090
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1361863356120
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1361863356127
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1361863356133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361863356200
executed,command,com.aptana.editor.js,3.0.3.1344380420,"com.aptana.editor.js.quick_outline",1361863356249
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1361863356430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361863357413
